"team1","team2","draw","odds1","odds2","drawodds","overodds","underodds","min1","min2","minX","minunder","minover","mg1","mg2","gg1","gg2","fg","lg","confirmed","league","id","player1_1","player1_2","player1_3","player1_4","player1_5","player1_6","player1_7","player1_8","player1_9","player1_10","player1_11","player2_1","player2_2","player2_3","player2_4","player2_5","player2_6","player2_7","player2_8","player2_9","player2_10","player2_11","bet1_1","bet1_2","bet1_3","bet1_4","bet1_5","bet1_6","bet1_7","bet1_8","bet1_9","bet1_10","bet1_11","bet2_1","bet2_2","bet2_3","bet2_4","bet2_5","bet2_6","bet2_7","bet2_8","bet2_9","bet2_10","bet2_11","xline1_1","xline1_2","xline1_3","xline1_4","xline1_5","xline1_6","xline1_7","xline1_8","xline1_9","xline1_10","xline1_11","xline2_1","xline2_2","xline2_3","xline2_4","xline2_5","xline2_6","xline2_7","xline2_8","xline2_9","xline2_10","xline2_11","gsline1_1","gsline1_2","gsline1_3","gsline1_4","gsline1_5","gsline1_6","gsline1_7","gsline1_8","gsline1_9","gsline1_10","gsline1_11","gsline2_1","gsline2_2","gsline2_3","gsline2_4","gsline2_5","gsline2_6","gsline2_7","gsline2_8","gsline2_9","gsline2_10","gsline2_11","expass1_1","expass1_2","expass1_3","expass1_4","expass1_5","expass1_6","expass1_7","expass1_8","expass1_9","expass1_10","expass1_11","expass2_1","expass2_2","expass2_3","expass2_4","expass2_5","expass2_6","expass2_7","expass2_8","expass2_9","expass2_10","expass2_11","exshots1_1","exshots1_2","exshots1_3","exshots1_4","exshots1_5","exshots1_6","exshots1_7","exshots1_8","exshots1_9","exshots1_10","exshots1_11","exshots2_1","exshots2_2","exshots2_3","exshots2_4","exshots2_5","exshots2_6","exshots2_7","exshots2_8","exshots2_9","exshots2_10","exshots2_11","exsogs1_1","exsogs1_2","exsogs1_3","exsogs1_4","exsogs1_5","exsogs1_6","exsogs1_7","exsogs1_8","exsogs1_9","exsogs1_10","exsogs1_11","exsogs2_1","exsogs2_2","exsogs2_3","exsogs2_4","exsogs2_5","exsogs2_6","exsogs2_7","exsogs2_8","exsogs2_9","exsogs2_10","exsogs2_11","pos1_1","pos1_2","pos1_3","pos1_4","pos1_5","pos1_6","pos1_7","pos1_8","pos1_9","pos1_10","pos1_11","pos2_1","pos2_2","pos2_3","pos2_4","pos2_5","pos2_6","pos2_7","pos2_8","pos2_9","pos2_10","pos2_11","importance1","importance2","logo1","logo2","time1","formation","manager1","manager2","goalie1","goalie2","day","min1_dif","min2_dif","minX_dif","minO_dif","minU_dif","min1s_dif","min2s_dif","date","americanOdds1","americanOdds2","americanOddsX","americanOddsU","americanOddsO","americanOdds1DC","americanOdds2DC"
"Celta Vigo","Valencia","draw",44.4,30.3,31.2,44.6,60,44.2,27.6,25.2,53.1,42.9,93.5,13.2,15.9,28,645.1,2180,"expected","ESP LaLiga","3918270","ivn villar","hugo mallo","renato tapia","unai nunez","franco cervi","carles prez","gabriel veiga","fran beltrn","luca de la torre","iago aspas","haris seferovic","hugo duro","samuel dias lino","andr almeida","justin kluivert","nico gonzlez","javier guerra","jos gayà","mouctar diakhaby","gabriel paulista","dimitri foulquier","giorgi mamardashvili","","","","","","","","","","","","","","","","","","","","","","","3.1250","6.6667","5.5556","5.5556","17.5439","23.2558","33.3333","4.5455","10.0000","43.4783","32.2581","26.3158","29.4118","10.5263","26.3158","9.5238","11.7647","5.8824","7.6923","5.8824","16.9492","15.3846","0.0000","3.1375","3.8225","5.2375","2.9750","15.1925","16.2600","1.9175","5.2900","28.8950","27.6800","23.7725","30.3075","1.9725","7.4075","6.5300","0.0975","4.3600","3.1150","4.1125","0.2575","0.0000",25.894,38.6949,43.9757,42.7142,58.8893,27.3774,25.5439,43.0924,49.3384,30.4597,12.9358,15.4925,26.9294,36.6328,15.455,30.6871,36.8559,42.7922,40.5356,51.1795,31.1433,23.6497,0,0.4894,0.7278,0.4704,0.4704,1.9871,1.4777,0.6748,0.6468,1.9957,2.3435,1.5429,2.4579,0.7577,0.9158,0.7043,0.3371,0.6217,0.4048,0.3789,0.1937,0,0,0.1255,0.2398,0.1208,0.1208,0.7021,0.4942,0.1394,0.1562,0.9344,0.8449,0.6125,0.7443,0.1839,0.3882,0.152,0.1216,0.1611,0.1214,0.0796,0.0383,0,0,1,1,1,1,3,3,3,3,5,5,5,3,3,3,2,2,1,1,1,1,0,2.8,63.7,"https://images.fotmob.com/image_resources/logo/teamlogo/9910.png","https://images.fotmob.com/image_resources/logo/teamlogo/10267.png",2023-05-14 05:00:00,"4-4-2","Carlos Carvalhal","Ruben Baraja","ivn villar","giorgi mamardashvili","20230514",-0.2,-2.7,-6,-1.8,-6.9,-6.2,-8.7,2023-05-14,125,230,221,-150,124,-310,-160
"Young Boys","FC Zurich","draw",68.8,17.9,22.7,65.5,42.7,67.4,10.4,17.1,37.1,57.1,72.7,67,23.2,55.2,298.1,848,"matt predicted","SUI Super League","3905530","anthony racioppi","lewin blum","fabian lustenberger","ulisses garcia","cedric zesiger","cheikh niasse","filip ugrinic","kastriot imeri","christian fassnacht","fabian rieder","meschack elia","yanick brecher","becir omeragic","lindrit kamberi","fidan aliti","cheick conde","blerim dzemaili","ifeanyi matthew","adrin guerrero","fabian rohner","antonio marchesano","jonathan okita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5659,40.682,72.963,56.1142,69.3985,57.1544,57.6625,33.9317,26.9452,37.331,19.3063,29.0422,32.9831,32.5551,35.0534,27.0756,28.4813,39.6483,23.6396,6.2201,26.1941,24.7009,0,0.7155,0.3349,1.2872,0.7989,0.4611,1.8759,2.1879,2.5192,1.5955,3.5686,0,0.3273,0.4366,0.4189,0.3005,0.6994,0.7294,0.5359,0.8278,1.372,1.8587,0,0.1324,0.0826,0.4234,0.205,0.1029,0.5406,0.8983,1.0904,0.6264,1.4261,0,0.056,0.0864,0.0833,0.0393,0.2543,0.1241,0.1156,0.4302,0.4506,0.6029,0,1,1,1,1,2,2,3,3,3,5,0,1,1,1,3,3,3,3,5,5,5,0,0.3,"https://images.fotmob.com/image_resources/logo/teamlogo/10192.png","https://images.fotmob.com/image_resources/logo/teamlogo/10243.png",2023-05-14 05:15:00,"4-2-3-1","Raphael Wicky","Bo Henriksen","anthony racioppi","yanick brecher","20230514",-1.3,-7.4,-5.6,-8.4,-5.7,-6.9,-13,2023-05-14,-221,459,341,134,-190,-1076,146
"SK Sturm Graz","SK Austria Klagenfurt","draw",84.6,9.1,16.7,68.2,40,63.3,9.4,14.3,29.3,57.1,100.7,53.3,20.4,25.7,75.9,686,"matt predicted","AUT Bundesliga","4143792","arthur okonkwo","amadou dante","david affengruber","gregory wthrich","jusuf gazibegovic","alexander prass","otar kiteishvili","bryan teixera","tomi horvat","jakob jantscher","manprit sarkaria","phillip menzel","christopher wernitznig","till schumacher","nicolas wimmer","thorsten mahrer","kosmas gezos","andy irving","christopher cvetko","sinan karweina","florian jaritz","florian rieder","","","","","","","","","","","","","","","","","","","","","*","","35.0877","9.0909","22.2222","16.9492","9.0909","16.6667","54.5455","46.5116","34.4828","53.4884","50.0000","5.2632","8.3333","6.2500","10.5263","7.1429","12.5000","16.6667","13.3333","18.5185","16.9492","17.5439","0.0000","1.0475","4.7175","17.6575","4.3500","7.1900","22.4800","24.1575","33.7275","31.8675","27.7125","0.0000","0.5125","0.5400","1.8950","1.0000","1.7250","9.9625","5.3550","5.2675","25.7675","18.6475",29.4349,59.6161,72.665,64.2256,46.3315,50.8249,42.5342,24.7714,22.9111,20.5466,21.4819,32.0193,39.2046,22.47,33.0089,31.0681,27.2016,37.9265,28.5667,15.7477,20.0571,16.1805,0,0.6727,0.742,0.8771,0.8849,2.6656,2.5342,1.9754,3.3622,3.4468,1.9879,0,0.3546,0.2922,0.5767,0.1625,0.3208,0.9899,0.9768,1.4775,0.868,1.4168,0,0.1187,0.1349,0.3738,0.3281,0.3182,1.0484,0.9292,0,1.3682,1.0799,0,0.0813,0.1267,0.1088,0.0813,0.1358,0.2778,0.18,0.3305,0.6463,0.5666,0,1,1,1,1,3,3,3,4,5,5,0,1,1,1,1,3,3,3,5,5,5,4.2,0,"https://images.fotmob.com/image_resources/logo/teamlogo/10014.png","https://images.fotmob.com/image_resources/logo/teamlogo/10009.png",2023-05-14 05:30:00,"4-3-1-2","Christian Ilzer","Peter Pacult","arthur okonkwo","phillip menzel","20230514",-21.3,0.3,-2.4,-11.1,-10.7,-23.7,-2.1,2023-05-14,-549,999,499,150,-214,7792,288
"FC Groningen","Ajax","draw",9.5,83,16.7,69.7,38.5,6.4,63.5,17.1,51.8,41.6,18.6,16.5,20.6,48.5,220,1712,"expected","NED Eredivisie","3900621","michael verrips","nordin musampa","radinio balker","matej chalus","damil dankerlui","tomas suslov","johan hove","isak dybvik","daleho irandust","ricardo pepi","oliver antman","steven bergwijn","brian brobbey","dusan tadic","davy klaassen","florian grillitsch","kenneth taylor","youri baas","jurrien timber","edson lvarez","jorge snchez","geronimo rulli","","","","","","","","","","","","","","","","","","","","","","","22.7273","3.4483","4.1667","4.1667","9.5238","20.4082","15.3846","9.5238","13.3333","24.3902","17.2414","46.5116","50.0000","43.4783","33.3333","14.2857","20.8333","8.3333","11.7647","22.2222","10.0000","12.5000","0.0000","3.3175","3.4300","3.3525","0.0350","0.3975","1.9850","0.0375","8.9600","16.6025","7.2100","29.7125","35.6825","27.1350","18.7300","7.3425","12.5075","4.7175","5.2375","8.8425","5.9575","0.0000",36.1392,42.4988,31.2498,35.8369,33.5104,22.7251,36.3908,32.4695,21.364,16.9292,18.291,32.7796,13.6704,39.3552,37.6875,64.4798,68.5322,49.9868,70.2669,104.8797,35.395,37.047,0,0.3174,0.1253,0.1907,0.1707,1.1367,1.1819,0.1568,1.3201,1.9589,1.067,2.8338,2.669,2.0542,1.7206,1.2712,1.3125,0.4058,0.5421,1.3551,0.6578,0,0,0.0722,0.0767,0.0722,0.0758,0.2261,0.408,0.0758,0.3397,0.648,0.2746,1.0325,1.3689,0.7077,0.6302,0.2939,0.3892,0.0639,0.1485,0.4072,0.1244,0,0,1,1,1,3,3,3,3,5,5,5,5,5,5,3,3,3,1,1,1,1,0,0,16.3,"https://images.fotmob.com/image_resources/logo/teamlogo/8674.png","https://images.fotmob.com/image_resources/logo/teamlogo/8593.png",2023-05-14 05:30:00,"3-4-3","Dennis van der Ree","Johnny Heitinga","michael verrips","geronimo rulli","20230514",-3.1,-19.6,0.4,-28.1,13.3,-2.7,-19.1,2023-05-14,953,-488,499,160,-230,282,-33233
"Brentford","West Ham United","draw",52.4,25.6,27.8,52.8,51.9,41.8,28.1,25.1,49.9,44.2,122,134.1,51.9,52.3,399.8,2208,"expected","ENG Premier League","3901284","david raya","mathias jrgensen","ben mee","ethan pinnock","aaron hickey","mathias jensen","vitaly janelt","joshua dasilva","rico henry","bryan mbeumo","ivan toney","pablo fornals","danny ings","maxwel cornet","flynn downes","declan rice","manuel lanzini","emerson","naif aguerd","thilo kehrer","ben johnson","lukasz fabianski","","","","","","","","","","","","","","","","","","","","","","","18.5185","11.7647","10.0000","7.1429","4.3478","11.7647","13.3333","19.6078","4.3478","28.5714","44.4444","16.6667","25.0000","23.2558","8.3333","7.1429","14.2857","9.0909","7.1429","3.4483","2.5000","35.7143","0.0000","3.6900","2.9525","2.1525","5.5400","8.5750","9.2625","7.9825","4.0875","19.1750","40.9050","14.4450","29.6350","8.1875","7.9950","2.0250","10.1650","4.5450","6.1200","0.3750","1.9275","0.0000",38.1902,61.4619,44.0669,52.528,32.6688,41.4081,36.0756,37.7264,30.1134,20.9549,21.7917,31.6314,12.5924,17.104,44.1313,41.8613,36.0538,49.0098,50.4077,56.3734,38.53,23.7599,0,0.4125,0.6349,0.5087,0.7737,0.9813,0.6414,1.793,0.7962,1.741,3.1991,1.8435,1.5389,1.2069,0.773,0.8188,1.232,0.6877,0.7019,0.349,0.1844,0,0,0.1125,0.1297,0.132,0.3918,0.3012,0.2151,0.4155,0.1626,0.6191,1.3661,0.7552,0.7559,0.3866,0.2202,0.2023,0.407,0.2375,0.169,0.0638,0.0409,0,0,1,1,1,3,3,3,3,3,5,5,5,5,5,3,3,3,1,1,1,1,0,0,0,"https://images.fotmob.com/image_resources/logo/teamlogo/9937.png","https://images.fotmob.com/image_resources/logo/teamlogo/8654.png",2023-05-14 06:00:00,"3-5-2","Thomas Frank","David Moyes","david raya","lukasz fabianski","20230514",-10.6,2.4,-2.6,-8.7,-2.1,-13.2,-0.2,2023-05-14,-110,291,260,-108,-112,-405,-115
"Brest","Auxerre","draw",46.5,28.6,31.2,46.7,58,46.2,25.4,24,45.4,42.7,18.7,97,52.8,16.1,86.7,2204,"expected","FRA Ligue 1","3904738","marco bizot","kenny lala","brendan chardonnet","lilian brassier","jean kevin duverne","haris belkebla","pierre lees melou","mahdi camara","romain del castillo","steve mounie","jrémy le douaron","mbaye niang","nuno da costa","birama tour","han noah massengo","gauthier hein","gideon mensah","souleymane tour","jubal","rayan raveloson","akim zedadka","ionut andrei radu","","","","","","","","","","","","","","*","","","","","","","","","15.3846","17.5439","10.0000","5.5556","3.5714","6.6667","26.3158","15.3846","23.2558","34.4828","31.2500","28.5714","27.0270","9.5238","6.6667","18.5185","3.0303","4.0000","8.3333","11.7647","9.0909","24.3902","0.0000","5.9200","8.4775","3.6400","0.5575","0.3425","12.9575","12.6800","27.0650","26.3900","20.8750","30.6725","10.1650","19.8775","4.5925","4.7800","0.2100","0.2350","4.1125","9.2850","0.8350","0.0000",26.7504,48.8084,58.211,57.1128,54.5266,52.9802,47.2534,46.4317,31.3243,24.7393,14.6445,16.2015,12.7768,43.4981,30.5065,40.524,38.2459,38.1701,38.0303,37.6536,35.0763,31.7724,0,0.6718,0.5773,0.8032,0.4361,0.2903,2.196,1.0479,1.9616,2.3026,1.9385,2.0028,1.088,0.3759,0.4736,2.0286,0.3036,0.5404,0.6385,0.7692,0.6165,0,0,0.213,0.2121,0.0866,0.0979,0.3418,0.2988,0.4015,0.7637,1.033,0.7748,0.8847,0.3146,0.33,0.0813,0.7853,0.0466,0.0466,0.1896,0.3367,0.0938,0,0,1,1,1,1,3,3,3,5,5,5,5,3,3,3,3,1,1,1,1,1,0,66.2,97.3,"https://images.fotmob.com/image_resources/logo/teamlogo/8521.png","https://images.fotmob.com/image_resources/logo/teamlogo/8583.png",2023-05-14 06:00:00,"4-3-3","Eric Roy","Christophe Pelissier","marco bizot","ionut andrei radu","20230514",-0.4,-3.1,-7.3,-4.1,-12.6,-7.7,-10.4,2023-05-14,115,250,221,-138,114,-348,-149
"Montpellier","Lorient","draw",55.6,25,26.3,57.6,47.2,46,27,23.9,43.3,52,94.3,36.4,26,32,316.2,2204,"expected","FRA Ligue 1","3904733","benjamin lecomte","falaye sacko","christopher jullien","kiki kouyat","issiaga sylla","lo leroy","jordan ferri","arnaud nordin","joris chotard","faitout maouassa","elye wahi","ibrahima kon","enzo le fee","romain faivre","darline yongwa","bonke innocent","laurent abergel","gdéon kalulu","vincent le goff","montassar talbi","bamo meit","yvon mvogo","","","","","","","","","","*","","","","","*","","","","","","","","11.1111","4.5455","12.5000","13.3333","9.5238","7.1429","16.6667","32.2581","11.7647","22.2222","54.5455","30.3030","17.8571","23.2558","8.3333","6.2500","9.0909","5.2632","7.1429","8.3333","10.5263","9.5238","0.0000","2.6000","6.8975","4.7825","1.9975","4.6075","8.1100","13.8675","7.9300","27.4200","38.2950","21.6125","9.3300","25.0775","20.1825","0.7225","0.7775","0.8175","5.2725","2.0500","3.4400","0.0000",29.2564,49.4781,54.978,50.4866,51.2746,28.3092,69.4426,24.6582,34.9091,23.5963,20.0008,17.6791,34.5617,22.6011,35.9463,34.4717,46.3811,32.2571,44.3385,46.6552,55.6014,25.2959,0,0.2893,0.9171,0.6098,0.6403,1.0669,0.7643,2.5913,0.9857,1.5452,2.9585,1.8571,1.6173,1.5778,0.8564,0.3879,0.7195,0.942,0.3602,0.3995,0.5781,0,0,0.0725,0.2861,0.1925,0.144,0.331,0.1309,0.7687,0.4788,0.5864,1.3035,0.7728,0.4368,0.8524,0.642,0.1127,0.139,0.1104,0.1173,0.102,0.206,0,0,1,1,1,1,2,2,3,3,3,5,5,4,4,3,3,3,3,1,1,1,0,0,0,"https://images.fotmob.com/image_resources/logo/teamlogo/10249.png","https://images.fotmob.com/image_resources/logo/teamlogo/8689.png",2023-05-14 06:00:00,"4-2-3-1","Michel Der Zakarian","Regis Le Bris","benjamin lecomte","yvon mvogo","20230514",-9.6,2.1,-2.4,-5.6,-3.9,-12,-0.3,2023-05-14,-125,300,280,112,-136,-452,-105
"Stade Rennes","Troyes","draw",82.8,10,15.4,68.8,36.2,72.3,6.2,12.6,33,58.9,92.7,76.5,46.1,29.9,86.7,2204,"expected","FRA Ligue 1","3904739","steve mandanda","hamari traor","warmed omari","arthur theate","jeanul belocian","benjamin bourigeaud","baptiste santamaria","lovro majer","jrémy doku","arnaud kalimuendo muinga","amine gouiri","mama bald","wilson odobert","xavier chavalerin","rominigue kouam","rony lopes","yasser larouci","yoann salmier","adil rami","tanguy zoukrou","andreas bruus","gauthier gallon","","","","","","","","","","","","","","","","","","","","","","","34.4828","10.0000","9.5238","11.7647","6.6667","42.5532","20.4082","36.3636","32.2581","50.0000","55.5556","25.0000","16.6667","13.3333","6.2500","17.2414","7.1429","3.8462","7.1429","2.6316","11.1111","18.5185","0.0000","7.4425","7.6350","12.5700","7.2300","15.1450","2.6200","15.8500","13.8525","41.2675","53.4975","14.2050","5.9025","8.3625","3.2575","10.1050","1.7500","1.8750","1.6650","1.8150","5.0650","0.0000",31.0612,67.2285,81.4852,65.2177,82.4106,66.2864,65.8333,57.7232,38.5375,21.1582,39.2211,17.1143,16.4326,27.3795,39.3335,18.6011,22.0844,37.8245,24.1114,24.7535,26.415,28.293,0,1.6414,0.1459,1.1527,0.4949,1.8863,1.1213,1.7008,1.765,3.1211,3.5482,1.4473,0.6397,0.6635,0.7495,1.274,0.2547,0.376,0.2313,0.2547,0.5653,0,0,0.3317,0.2898,0.2898,0.2898,0.6526,0.2978,0.5349,0.6542,1.3173,1.6029,0.4289,0.1193,0.2529,0.233,0.5527,0.0663,0.1227,0.0602,0.0663,0.2073,0,0,1,1,1,1,3,3,3,5,5,5,5,3,3,3,3,1,1,1,1,1,0,0,0,"https://images.fotmob.com/image_resources/logo/teamlogo/9851.png","https://images.fotmob.com/image_resources/logo/teamlogo/10242.png",2023-05-14 06:00:00,"4-3-3","Bruno Genesio","Patrick Kisnorbo","steve mandanda","gauthier gallon","20230514",-10.5,-3.8,-2.8,-9.9,-3.2,-13.3,-6.6,2023-05-14,-481,900,549,176,-221,-5456,294
"Fiorentina","Udinese","draw",50,27.8,29.4,53.7,51.5,47.9,25.6,23.5,41.2,53.1,120.4,35.5,34.9,51.1,31.1,2194,"expected","ITA Serie A","3919360","pietro terracciano","dodo","nikola milenkovic","lucas martinez quarta","aleksa terzic","sofyan amrabat","gaetano castrovilli","jonathan ikon","antonin barak","riccardo saponara","luka jovic","ilija nestorovski","roberto pereyra","iyenoma udogie","sandi lovric","walace","lazar samardzic","festy ebosele","nehun pérez","jaka bijol","rodrigo becao","marco silvestri","","","","","","","","","","","","","","","","","","","","","","","8.3333","7.6923","11.7647","9.0909","5.2632","10.0000","20.8333","22.2222","31.2500","24.3902","32.2581","25.0000","21.7391","11.1111","21.7391","7.6923","21.7391","8.3333","9.5238","12.5000","5.2632","14.2857","0.0000","1.5550","7.3600","5.3475","1.6575","9.9175","9.0625","5.4375","23.3175","25.6650","28.9200","14.3975","17.4975","14.7025","3.7650","3.1050","17.7100","7.7275","1.8050","1.8550","3.1000","0.0000",37.2868,44.0258,53.1113,60.0109,47.9091,79.3214,21.5329,22.2385,36.4447,26.0889,17.1467,15.6791,30.5869,31.9075,40.661,53.3354,32.6303,13.4315,42.0248,51.389,37.5945,25.4042,0,0.4241,0.6155,0.8762,0.4677,0.4621,1.4297,1.6161,1.5026,1.7486,2.7471,1.4781,1.6975,0.5992,0.9952,0.6684,1.6125,0.2664,0.401,0.4966,0.6127,0,0,0.0985,0.208,0.3559,0.1136,0.2783,0.2415,0.4415,0.9764,0.5367,0.9215,0.6381,0.6729,0.2668,0.2239,0.1327,0.4986,0.0861,0.073,0.1409,0.1405,0,0,1,1,1,1,2,2,3,3,3,5,5,4,3,3,3,3,3,1,1,1,0,0,0,"https://images.fotmob.com/image_resources/logo/teamlogo/8535.png","https://images.fotmob.com/image_resources/logo/teamlogo/8600.png",2023-05-14 06:00:00,"4-2-3-1","Vincenzo Italiano","Andrea Sottil","pietro terracciano","marco silvestri","20230514",-2.1,-2.2,-5.9,-0.6,-10.3,-8.1,-8.2,2023-05-14,100,260,240,-106,-116,-385,-134
"Monza","Napoli","draw",22.2,56.5,27.8,52.8,51.9,19,48.9,23.4,52.1,42.3,29.2,87.1,18.3,40.9,184.6,2194,"expected","ITA Serie A","3919365","michele di gregorio","armando izzo","pablo mari","luca caldirola","patrick ciurria","matteo pessina","jose machin","carlos augusto","mattia valoti","gianluca caprari","dany mota","khvicha kvaratskhelia","victor osimhen","giacomo raspadori","piotr zielinski","stanislav lobotka","andre frank zambo anguissa","bartosz bereszynski","min jae kim","leo stigard","giovanni di lorenzo","alex meret","","","","","","","","","","","","","","","","","","","","","","","9.5238","5.2632","7.6923","7.6923","20.0000","16.6667","12.5000","19.2308","19.2308","23.2558","22.7273","47.6190","52.3810","37.0370","33.3333","11.7647","17.2414","6.6667","22.2222","7.6923","10.0000","2.2222","0.0000","2.8775","4.6725","1.4100","4.3425","10.9125","0.0975","5.1675","12.1100","13.3450","18.6075","25.8450","40.5475","20.0050","14.8300","1.3875","3.3500","0.8725","0.6050","8.2925","6.8025","0.0000",32.8726,44.1995,45.8429,46.2219,29.4615,51.4014,36.7732,34.5237,28.2457,24.5026,19.209,37.5441,15.7109,26.7106,41.1175,63.5559,56.4536,44.6174,80.2895,56.494,70.2477,27.0552,0,0.6615,0.447,0.4619,1.1085,0.6707,0.5124,0.9134,1.5794,1.1773,1.6839,2.5907,3.281,1.4906,1.6852,0.2997,1.0125,0.1953,0.2172,1.0461,0.6543,0,0,0.1204,0.2437,0.0892,0.3759,0.316,0.1179,0.2689,0.4709,0.3938,0.571,0.9149,1.4472,0.7071,0.6188,0.0599,0.2505,0.0344,0.0352,0.3023,0.2234,0,0,1,1,1,3,3,3,3,4,4,5,5,5,5,3,3,3,1,1,1,1,0,0,0,"https://images.fotmob.com/image_resources/logo/teamlogo/6504.png","https://images.fotmob.com/image_resources/logo/teamlogo/9875.png",2023-05-14 06:00:00,"3-4-2-1","Raffaele Palladino","Luciano Spalletti","michele di gregorio","alex meret","20230514",-3.2,-7.7,-4.4,-10.5,0.1,-7.6,-12,2023-05-14,350,-130,260,-108,-112,100,-537
"VfB Stuttgart","Bayer Leverkusen","draw",41.7,35.7,28.6,59,45.9,24.6,40.6,25.7,51.8,42,75.6,35,8.3,68.3,86,1788,"expected","GER 1. Bundesliga","3903831","fabian bredlow","waldemar anton","dan axel zagadou","hiroki ito","josha vagnoman","wataru endo","atakan karazor","borna sosa","tiago toms","sehrou guirassy","enzo millot","florian wirtz","amine adli","moussa diaby","mitchel bakker","nadiem amiri","kerem demirbay","jeremie frimpong","piero hincapi","jonathan tah","edmond tapsoba","lukas hradecky","","","","","","","","","","","","","","","","","","","","","","","23.2558","10.5263","7.6923","7.6923","15.3846","10.5263","9.5238","15.3846","33.3333","39.2157","19.2308","24.3902","39.2157","39.2157","23.2558","17.8571","22.2222","18.1818","5.8824","6.2500","17.8571","5.2632","0.0000","4.9975","11.5125","3.5525","6.9475","13.2025","0.3650","3.4350","13.4225","18.5350","5.6375","21.9925","19.7750","19.4725","11.2325","5.5900","2.8025","8.5825","2.4350","11.2425","4.7800","0.0000",34.1311,44.266,52.1521,50.3924,25.1329,46.6716,48.4669,36.5591,25.0817,13.9764,5.835,33.4216,25.7687,20.4345,41.1007,43.1429,52.1559,30.671,50.8404,50.9471,58.4801,39.603,0,0.6721,0.4571,0.4544,1.554,0.959,0.3647,0.542,1.4254,1.8449,0.4472,1.0605,1.9926,2.5326,0.6172,0.9264,1.0809,0.8899,0.2907,0.5079,0.9027,0,0,0.2071,0.1865,0.0977,0.4462,0.3955,0.0496,0.1388,0.497,0.4912,0.1968,0.5214,0.5462,1.2764,0.3218,0.2033,0.2743,0.2414,0.141,0.1282,0.3093,0,0,1,1,1,3,3,3,3,4,5,5,5,5,5,3,3,3,3,1,1,1,0,87.7,0.5,"https://images.fotmob.com/image_resources/logo/teamlogo/10269.png","https://images.fotmob.com/image_resources/logo/teamlogo/8178.png",2023-05-14 06:30:00,"3-4-1-2","Sebastian Hoeness","Xabi Alonso","fabian bredlow","lukas hradecky","20230514",-17.1,4.9,-2.8,-17,5.9,-19.9,2.1,2023-05-14,140,180,250,118,-144,-237,-180
"Elche","Atletico Madrid","draw",12.5,76.2,19.2,58.7,46.3,12,50.7,25.5,65.5,31.2,9.6,131.2,42.5,16.9,416,2180,"expected","ESP LaLiga","3918272","edgar badia","josan","lisandro magalln","omar mascarell","lautaro blanco","john nwankwo","gerard gumbau","fidel chaves","tete morente","lucas boye","pere milla","lvaro morata","antoine griezmann","yannick carrasco","thomas lemar","koke","rodrigo de paul","nahuel molina","mario hermoso","jos giménez","axel witsel","ivo grbic","","","","","","","","","","","","","","","","","","","","","","","5.5556","7.6923","2.9412","4.0000","4.5455","5.2632","7.1429","40.8163","13.3333","20.4082","28.5714","53.4884","45.4545","27.0270","35.0877","16.6667","20.4082","12.5000","11.7647","12.5000","12.5000","8.3333","0.0000","0.3800","0.0500","0.0475","0.0300","3.2525","2.4150","5.0675","9.1775","16.4525","12.0825","30.0400","22.8725","7.9075","9.9225","3.4900","11.9500","14.6250","3.8000","4.4850","3.5900","0.0000",25.8757,25.7412,36.8423,49.3594,25.5731,31.6248,28.8632,28.7033,15.0717,18.3988,16.7445,14.9957,32.1175,29.4736,32.5873,61.6225,48.0508,33.8266,65.591,53.9215,64.7074,25.5685,0,0.3154,0.327,0.2597,0.4364,0.6743,1.0631,0.5986,1.0379,1.7425,1.0714,2.3663,2.518,1.4894,0.7668,0.5881,1.4937,1.2409,0.7125,0.6536,0.1978,0,0,0.1659,0.047,0.0238,0.0238,0.1721,0.147,0.1863,0.3168,0.568,0.4055,1.0678,0.8732,0.3779,0.3778,0.1295,0.5321,0.4122,0.1802,0.1378,0.1378,0,0,1,1,1,1,3,3,3,5,5,5,5,5,3,3,3,3,3,1,1,1,0,0,0.1,"https://images.fotmob.com/image_resources/logo/teamlogo/10268.png","https://images.fotmob.com/image_resources/logo/teamlogo/9906.png",2023-05-14 07:15:00,"4-3-3","Sebastian Beccacece","Diego Simeone","edgar badia","ivo grbic","20230514",-0.5,-25.4,6.3,-27.5,19.2,5.8,-19.1,2023-05-14,700,-320,421,116,-142,215,-2074
